Size;Threads;Time
128;32;0.011865 
256;32;0.079809 
512;32;0.757758 
1024;32;7.573615 
2048;32;136.443435 
32;2;0.000209 
64;2;0.000801 
128;2;0.010109 
256;2;0.076422 
512;2;0.666054 
1024;2;6.565076 
2048;2;109.614543 
32;4;0.000267 
64;4;0.000600 
128;4;0.003069 
256;4;0.070924 
512;4;0.647817 
1024;4;6.662344 
2048;4;111.924887 
32;8;0.000688 
64;8;0.000732 
128;8;0.008997 
256;8;0.086217 
512;8;0.852896 
1024;8;9.493641 
2048;8;131.654608 
32;16;0.001399 
64;16;0.002687 
128;16;0.010315 
256;16;0.078917 
512;16;0.728391 
1024;16;7.223515 
2048;16;132.170305 
32;32;0.002361 
64;32;0.003315 
128;32;0.011282 
256;32;0.084106 
512;32;0.743333 
1024;32;7.360536 
2048;32;133.794600 

